poiID,poiCat,poiLat,poiLon,catID
0,City precincts,-37.82167,144.96778,0
1,City precincts,-37.817,144.946,0
2,City precincts,-37.8119,144.97299999999998,0
3,City precincts,-37.79972,144.96694,0
4,City precincts,-37.80778,144.96333,0
5,City precincts,-37.829,144.957,0
6,City precincts,-37.81667,144.98333,0
7,City precincts,-37.7963,144.9614,0
8,Shopping,-37.81583,144.96444,5
9,Shopping,-37.8139,144.96452,5
10,Shopping,-37.8175639,144.99032780000002,5
11,Shopping,-37.79833,144.978472,5
12,Shopping,-37.84083,144.99528,5
13,Shopping,-37.816583,144.9655,5
14,Shopping,-37.8168,144.9622,5
15,Shopping,-37.8175,144.96583,5
16,Shopping,-37.8096,144.961,5
17,Shopping,-37.81694,144.96556,5
18,Shopping,-37.8151,144.9641,5
19,Shopping,-37.81056,144.96,5
20,Shopping,-37.847414,144.993503,5
21,Shopping,-37.806966,144.956693,5
22,Shopping,-37.81,144.9652,5
23,Shopping,-37.8145,144.9641,5
24,Shopping,-37.8064,144.963,5
25,Entertainment,-37.822324,144.960099,1
26,Entertainment,-37.868036,144.976369,1
27,Entertainment,-37.821044,144.95801699999998,1
28,Entertainment,-37.784762,144.952095,1
29,Public galleries,-37.826497,144.96701399999998,4
81,Public galleries,-37.7975,144.964111,4
30,Public galleries,-37.822595,144.968634,4
31,Institutions,-37.81384,144.963028,2
32,Institutions,-37.827939,144.976939,2
33,Institutions,-37.8297,144.9755,2
34,Institutions,-37.815145,144.966777,2
35,Institutions,-37.80806,144.96528,2
36,Institutions,-37.8087,144.966,2
37,Institutions,-37.812153,144.956794,2
38,Institutions,-37.813153,144.974121,2
39,Institutions,-37.811055,144.97329,2
40,Institutions,-37.809801,144.964787,2
41,Institutions,-37.814132,144.957932,2
42,Institutions,-37.827391,144.970447,2
43,Structures,-37.82028,144.96833,7
44,Structures,-37.82167,144.96444,7
45,Structures,-37.8256,144.9541,7
46,Structures,-37.8110723,144.9368763,7
47,Structures,-37.804728,144.971225,7
48,Structures,-37.830434,144.97325800000002,7
49,Structures,-37.816853,144.967384,7
50,Structures,-37.81,144.97611,7
51,Sports stadiums,-37.82528,144.98389,6
52,Sports stadiums,-37.81639,144.9475,6
82,Sports stadiums,-37.79028,144.9125,6
53,Sports stadiums,-37.821112,144.97741000000002,6
54,Sports stadiums,-37.82278,144.98167,6
55,Sports stadiums,-37.82,144.98333,6
56,Sports stadiums,-37.84972,144.96833,6
57,Sports stadiums,-37.84667,144.96611,6
58,Sports stadiums,-37.84028,144.965,6
59,Sports stadiums,-37.8123777,144.93556740000002,6
60,Sports stadiums,-37.82472,144.98111,6
61,Sports stadiums,-37.82167,144.97833,6
83,Sports stadiums,-37.97,145.03,6
62,Sports stadiums,-37.78389,144.96167,6
63,Parks and spaces,-37.846,144.97,3
64,Parks and spaces,-37.82037,144.971938,3
65,Parks and spaces,-37.81833,144.9725,3
66,Parks and spaces,-37.80611,144.97028,3
67,Parks and spaces,-37.816,144.967,3
68,Parks and spaces,-37.817798,144.96871399999998,3
69,Parks and spaces,-37.8125641,144.9803925,3
70,Parks and spaces,-37.8105,144.9544,3
71,Parks and spaces,-37.8282598,144.9775815,3
72,Parks and spaces,-37.8218,144.9716,3
73,Parks and spaces,-37.8334,144.98033,3
84,Parks and spaces,-37.7901833,144.9511667,3
74,Parks and spaces,-37.814158,144.976194,3
75,Parks and spaces,-37.8180437,144.9852312,3
76,Transport,-37.8194778,144.932125,8
77,Transport,-37.819744,144.968516,8
78,Transport,-37.818078,144.96681,8
85,Transport,-37.67333,144.84333,8
79,Transport,-37.81,144.96278,8
80,Transport,-37.8184,144.9524,8
86,Transport,-37.82944,144.89806000000002,8
87,Transport,-37.85194,144.90833,8
