userID,sequence_length,start_poi,end_poi,poi_sequence
0,4,23,12,23;25;11;12
1,3,20,12,20;11;12
1,3,0,25,0;9;25
2,4,9,12,9;3;4;12
3,3,10,14,10;11;14
3,5,20,13,20;1;10;11;13
4,3,22,10,22;23;10
5,3,10,13,10;12;13
6,3,25,10,25;6;10
7,5,0,12,0;25;10;11;12
8,3,0,18,0;9;18
9,3,22,11,22;10;11
10,5,0,12,0;9;25;10;12
11,3,24,12,24;1;12
12,4,0,25,0;9;22;25
13,3,22,11,22;25;11
14,3,0,25,0;9;25
15,4,0,4,0;23;25;4
16,4,25,15,25;10;12;15
17,3,22,18,22;24;18
18,5,22,14,22;23;10;13;14
19,3,23,10,23;25;10
20,5,25,13,25;1;11;12;13
21,3,23,10,23;25;10
22,3,4,14,4;11;14
23,3,22,14,22;10;14
24,3,0,22,0;9;22
24,3,0,10,0;9;10
25,3,24,11,24;10;11
26,6,20,14,20;1;4;10;12;14
27,3,23,12,23;7;12
28,5,0,10,0;9;23;2;10
29,3,22,10,22;23;10
30,3,25,12,25;11;12
31,3,10,18,10;11;18
31,5,20,12,20;4;10;11;12
32,3,0,25,0;9;25
33,3,23,11,23;10;11
34,3,22,5,22;23;5
35,3,0,18,0;9;18
36,3,22,18,22;11;18
36,3,10,13,10;11;13
37,3,22,12,22;23;12
37,3,25,4,25;1;4
37,3,9,12,9;10;12
38,4,22,12,22;25;4;12
39,4,23,12,23;25;4;12
